TIME_PERIOD,Reference area,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,Housing spending,Community development spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Gini index,Region
2001,Australia,AUS,24.6,30.0,0.0588453740246845,0.0621764756057725,0.0040109460346515,0.0013556016659233,5.61526432833333,6.74217304166667,19274701.0,19695.7297379144,4.40713536201469,33.5,East Asia and Pacific
2003,Australia,AUS,23.200001,30.0,0.0670120555145889,0.0728979685222328,0.0030601201431967,0.0018066771846784,5.36677549766667,5.92842029166667,19720737.0,23718.1338501868,2.73259596616786,33.5,East Asia and Pacific
2004,Australia,AUS,22.799999,30.0,0.0631453925682236,0.0707286784954898,0.0032795498148685,0.0016738745680412,5.5907745075,5.39673355,19932722.0,30836.7306824685,2.34325522482583,33.1,East Asia and Pacific
2008,Australia,AUS,18.799999,30.0,0.0561801610975775,0.0657562436925233,0.0037773781887337,0.0019236354022525,5.81794393966667,4.23432970833333,21249199.0,49701.2817843335,4.35029854990048,35.4,East Asia and Pacific
2010,Australia,AUS,18.4,30.0,0.0727617138552656,0.0773161078486643,0.003334352965714,0.0024233144758003,5.36604166666667,5.21334044166667,22031750.0,52144.6654705468,2.91834002677376,34.7,East Asia and Pacific
2014,Australia,AUS,15.1,30.0,0.0578172306011445,0.0715147111633121,0.0025134456286815,0.0021180721590013,3.66383333333333,6.07724431666667,23475686.0,62544.0873773726,2.48792270531404,34.4,East Asia and Pacific
2016,Australia,AUS,14.6,30.0,0.0621723825902715,0.0829010272385349,0.0026757765467745,0.0021552813391261,2.34083333333333,5.714148675,24190907.0,49888.0410842736,1.27699094497324,33.7,East Asia and Pacific
2018,Australia,AUS,13.7,30.0,0.0602926128145641,0.0759744797013351,0.002290427501448,0.00274830368691,2.681666666666666,5.308814958333333,24963258.0,57196.4220783778,1.91140094445691,34.3,East Asia and Pacific
2014,Costa Rica,CRI,12.4,30.0,0.0731424974737084,0.0616853454137189,0.0,0.0065369257031632,9.836666666666664,9.61738513875,4767119.0,10911.497878334,4.51920098516954,48.6,Latin America and Caribbean
2015,Costa Rica,CRI,18.6,30.0,0.0741552503583198,0.0615846833441645,0.0,0.0065052030630845,9.63,9.61297364575,4818038.0,11714.7105980732,0.801982005099623,48.4,Latin America and Caribbean
2016,Costa Rica,CRI,19.299999,30.0,0.0752254703363775,0.0606297917378758,0.0,0.0066287156986291,8.334999999999999,9.5378522955,4866998.0,12091.0301606154,-0.0174788505908217,48.7,Latin America and Caribbean
2017,Costa Rica,CRI,19.299999,30.0,0.0767354540237938,0.0588708660906695,0.0032325795897817,0.006293149465185,8.906666666666665,9.07172439475,4913177.0,12317.0902771304,1.62590692991732,48.3,Latin America and Caribbean
2018,Costa Rica,CRI,19.4,30.0,0.0768013305681132,0.0567011607303866,0.0029457725552308,0.0064112799484236,9.9625,10.264046309,4957818.0,12590.2493781614,2.22111461526581,48.0,Latin America and Caribbean
2019,Costa Rica,CRI,20.5,30.0,0.0751039085733555,0.0606669578209176,0.0033154058329444,0.0058580964175498,10.616666666666664,11.755392085,4999553.0,12884.6859951989,2.09604635327807,48.2,Latin America and Caribbean
2008,Japan,JPN,18.200001,39.54,0.0346865773548343,0.0631301618921831,1.7051145714180849e-06,0.00440090070883,1.46733333333333,3.99166666666667,128063000.0,39876.3039685725,1.3800788616492,34.8,East Asia and Pacific
2010,Japan,JPN,18.4,39.54,0.0361196730722136,0.071389941578215,1.18687177393416e-06,0.0047304752669769,1.14833333333333,5.05,128070000.0,44968.1562349739,-0.728243207517779,32.1,East Asia and Pacific
2013,Japan,JPN,17.799999,37.0,0.0360127351923705,0.0764076157960105,6.585406032546458e-05,0.0041238402313659,0.689666666666667,4.025,127445000.0,40898.6478964744,0.335037912184741,32.9,East Asia and Pacific
2006,Lithuania,LTU,9.8000002,19.0,0.0156072387883274,0.0132759796562197,0.0002479292820204,0.0005494257665796,4.07866666666667,5.79166666666667,3269909.0,9210.10118229413,3.73912004060664,34.4,Europe and Central Asia
2007,Lithuania,LTU,9.3000002,18.0,0.0143990771947585,0.013248431619783,0.000208346936476,0.0004464149773416,4.54475,4.25833333333333,3231294.0,12295.1212779366,5.73717382799842,34.8,Europe and Central Asia
2008,Lithuania,LTU,8.8999996,15.0,0.0166043926163951,0.0143644081551238,0.0001767755219495,0.0004155510889782,5.60775,5.825,3198231.0,14955.5345462921,10.9258856241655,35.7,Europe and Central Asia
2009,Lithuania,LTU,10.0,20.0,0.0194380790263184,0.0159753413775107,0.000308039884482,0.0006844734275262,14.0044166666667,13.8,3162916.0,11854.3711053096,4.45304456518535,37.2,Europe and Central Asia
2010,Lithuania,LTU,10.1,15.0,0.0173565775935162,0.0157991561987366,0.0003790926203,0.0005331382679413,5.56666666666667,17.8416666666667,3097282.0,11829.122609457,1.31921362055463,33.6,Europe and Central Asia
2011,Lithuania,LTU,9.6999998,15.0,0.0163023753117072,0.0151404530960514,0.0004376107043542,0.0004585159715274,5.16,15.3916666666667,3028115.0,14261.8433787325,4.13027562645085,32.5,Europe and Central Asia
2012,Lithuania,LTU,9.0,15.0,0.0157794184451548,0.0135870505195319,0.0003321716759252,0.0003740090950919,4.83083333333333,13.4083333333333,2987773.0,14294.7178607152,3.08998277055417,35.1,Europe and Central Asia
2013,Lithuania,LTU,8.3999996,15.0,0.0152464117852007,0.0131468770431731,0.0002929351645129,0.0003567863950997,3.83166666666667,11.8,2957689.0,15655.3513307327,1.04747937065344,35.3,Europe and Central Asia
2014,Lithuania,LTU,8.1000004,15.0,0.0146631137124723,0.0129090491337775,0.0002157452461427,0.0004006811158067,2.7925,10.725,2932367.0,16473.5678231709,0.103758009433708,37.7,Europe and Central Asia
2015,Lithuania,LTU,7.9000001,15.0,0.050593853525336,0.0470009733254552,0.0005266993572825,0.0013813839127106,1.38083333333333,9.13333333333334,2904910.0,14300.2553666736,-0.884097405500596,37.4,Europe and Central Asia
2016,Lithuania,LTU,7.6999998,15.0,0.047871372527686,0.0476264001036985,0.0005087492506574,0.0021918720880223,0.898333333333333,7.9,2868231.0,14981.6208126311,0.905525075460342,38.4,Europe and Central Asia
2017,Lithuania,LTU,7.6999998,15.0,0.0454306421847038,0.0457991854248201,0.0005194614603949,0.0024000254905132,0.31,7.11666666666666,2828403.0,16884.7100319318,3.72288862303707,37.3,Europe and Central Asia
2018,Lithuania,LTU,7.0999999,15.0,0.0448369173405976,0.0473545785665145,0.0006838253433463,0.0031250948775017,0.31,6.18333333333333,2801543.0,19368.5391045353,2.69792779208394,35.7,Europe and Central Asia
2019,Lithuania,LTU,7.4000001,15.0,0.0457460415762357,0.0502357540784592,0.0006649169372723,0.0029894860466245,0.31,6.28333333333333,2794137.0,19727.7607453736,2.33450937988027,35.3,Europe and Central Asia
2004,Slovak Republic,SVK,25.4,19.0,0.0009425579163342,0.0012658141350105,2.871702914825043e-07,4.346024354681446e-05,5.02614344166667,18.3583333333333,5372280.0,10650.1290097126,7.54850088183423,27.1,Europe and Central Asia
2005,Slovak Republic,SVK,23.5,19.0,0.0010108849637289,0.0016589473541531,2.422528262489991e-07,5.769225285542655e-05,3.521579771875,16.375,5372807.0,11641.5410321763,2.70908494588384,29.3,Europe and Central Asia
2006,Slovak Republic,SVK,20.6,19.0,0.001045620933705,0.0017797482125001,2.80800709555335e-07,6.32134749883722e-05,4.412181215625,13.4666666666667,5373054.0,13167.8954730379,4.48333120449611,25.8,Europe and Central Asia
2007,Slovak Republic,SVK,18.700001,19.0,0.0010783140753824,0.0018278229853306,2.712528033906753e-07,6.248635700177264e-05,4.49072595625,11.2333333333333,5374622.0,16110.4817265237,2.7567237163814,24.7,Europe and Central Asia
2008,Slovak Republic,SVK,16.799999,19.0,0.0011735743356798,0.0021734290457741,2.4606836881720314e-07,6.654988676652434e-05,4.72318268611633,9.575,5379233.0,18744.3192278346,4.59817976325028,26.0,Europe and Central Asia
2009,Slovak Republic,SVK,16.0,19.0,0.0447934382035003,0.0740833588985464,9.523045152613116e-06,0.0023159733580166,4.70651225,12.0833333333333,5386406.0,16586.7527805228,1.61510464058238,27.2,Europe and Central Asia
2010,Slovak Republic,SVK,16.4,19.0,0.0439091216950529,0.0763785882294826,4.9180288272734466e-05,0.0029417960600536,3.87164658333333,14.433333333333334,5391428.0,16899.448680529,0.957018132975143,27.3,Europe and Central Asia
2011,Slovak Republic,SVK,14.5,19.0,0.0387031701016397,0.0723762920526095,6.156678419221342e-05,0.0032094303895573,4.44820558333333,13.6083333333333,5398384.0,18469.4354316836,3.9192859914629,26.5,Europe and Central Asia
2012,Slovak Republic,SVK,14.5,19.0,0.0389919070613535,0.0712602811047427,5.235487976708641e-05,0.0025653891085872,4.55323091666667,13.9,5407579.0,17516.9691054078,3.6061026352289,26.1,Europe and Central Asia
2013,Slovak Republic,SVK,14.1,23.0,0.041139738957091,0.0510395722575366,4.608623933085177e-05,0.0021980724671548,3.18637683333333,14.1333333333333,5413393.0,18312.7805149823,1.40047368963025,28.1,Europe and Central Asia
2014,Slovak Republic,SVK,13.4,22.0,0.0405341793545904,0.0570123938282933,3.944500099918581e-05,0.0018351068345647,2.07170141666667,13.1,5418649.0,18770.9289896545,-0.0761653295419871,26.1,Europe and Central Asia
2015,Slovak Republic,SVK,12.6,22.0,0.0412483494669641,0.0553112001027864,5.399601153608611e-05,0.0025839704230252,0.88525,11.4666666666667,5423801.0,16442.0760860018,-0.325219777427673,26.5,Europe and Central Asia
2016,Slovak Republic,SVK,11.8,22.0,0.0387618111697025,0.0569979213706176,4.7291418899757145e-05,0.001756520913901,0.54440925,9.65833333333333,5430798.0,16636.0769133073,-0.520010196278266,25.2,Europe and Central Asia
2017,Slovak Republic,SVK,11.5,21.0,0.0394860568521539,0.0563141379916312,0.0001197028685256,0.0018167293762962,0.915360666666666,8.08333333333334,5439232.0,17645.5298716761,1.31194588223228,23.2,Europe and Central Asia
2018,Slovak Republic,SVK,11.3,21.0,0.0417350815114434,0.0544850028608415,0.0031623074923989,0.0022491064636986,0.885511,6.50833333333333,5446771.0,19573.3717031314,2.51403712883812,25.0,Europe and Central Asia
2000,Germany,DEU,24.6,51.611553,0.0403346074021201,0.064338438999652,0.001735488293906,0.0024604866504512,5.263958654596528,8.00833333333333,82211508.0,23925.8559901991,1.44026838719741,28.9,Europe and Central Asia
2001,Germany,DEU,23.700001,38.259958,0.0411791230363534,0.0649096118021653,0.0023465860179547,0.0024030644081384,4.7965932489180405,7.85833333333333,82349925.0,23878.3641471651,1.98385731334471,29.9,Europe and Central Asia
2002,Germany,DEU,23.5,38.285834,0.0414228914795623,0.0664741652274034,0.0023271085204375,0.0024409002590673,4.783579595123073,8.68333333333333,82488495.0,25486.5942008748,1.42080615551526,29.8,Europe and Central Asia
2003,Germany,DEU,23.0,39.63762,0.0413796796694067,0.0673952722453066,0.0023513818663787,0.0024031488613493,4.071142521983484,9.80833333333333,82534176.0,30711.1022511331,1.03422218628562,29.8,Europe and Central Asia
2004,Germany,DEU,22.200001,38.337521,0.0406883438579347,0.0636360464710593,0.0023802463105745,0.0023597495028433,4.037155655938266,10.5,82516260.0,34566.7359143735,1.66573696655992,30.2,Europe and Central Asia
2005,Germany,DEU,21.5,38.363332,0.0405372982874033,0.064341211930978,0.0047202789685728,0.0022547953098192,3.354017535604493,11.2833333333333,82469422.0,35084.4363546269,1.54691114751328,31.7,Europe and Central Asia
2006,Germany,DEU,20.6,38.414889,0.039757973439728,0.0631416465390033,0.0050350757157341,0.0022224237278355,3.76412531864906,10.275,82376451.0,36980.3349948954,1.57742642840563,31.0,Europe and Central Asia
2007,Germany,DEU,19.799999,38.363332,0.0387971930045396,0.062468236423284,0.0046597068703731,0.0020312954819016,4.216955003518639,8.54166666666667,82266372.0,42350.9217211489,2.29834400700951,31.2,Europe and Central Asia
2008,Germany,DEU,19.0,29.405,0.0390241265330079,0.0636762070989465,0.0043715825893546,0.0020361589076642,3.984768224497344,7.425,82110097.0,46386.3295924799,2.62837981637219,30.8,Europe and Central Asia
2009,Germany,DEU,18.799999,29.37,0.042779784117008,0.0699695775731801,0.0049613807533057,0.0022253664519594,3.2222178304787,7.225,81902307.0,42487.2137101496,0.312739007368447,30.5,Europe and Central Asia
2010,Germany,DEU,18.9,29.486964,0.0432505370671936,0.0685427704257563,0.0047873519720496,0.0021796136174247,2.744267378756509,6.575,81776930.0,42409.9356994694,1.1038103778926,30.2,Europe and Central Asia
2011,Germany,DEU,18.4,29.550934,0.0423755645404888,0.0667415141512699,0.0047328599866803,0.002147164469159,2.609184991464167,5.51666666666667,80274983.0,47646.582043143,2.07517283735874,30.6,Europe and Central Asia
2012,Germany,DEU,18.299999,29.58,0.0415365057599326,0.0670448296302645,0.0044536812861111,0.0020686478263664,1.495130210995014,5.08333333333333,80425823.0,44735.5882319701,2.00848884782956,31.1,Europe and Central Asia
2013,Germany,DEU,18.0,29.644974,0.0422501464802883,0.0691798498925817,0.0044927596886247,0.0021131525348065,1.5714080060438764,4.95,80645605.0,47220.0102098851,1.50472330251876,31.5,Europe and Central Asia
2014,Germany,DEU,17.700001,29.70721,0.0418475329713209,0.0699270058321625,0.0029144068846999,0.0020307051189714,1.1634722907400257,4.70833333333333,80982500.0,48971.0824722599,0.906794000434246,30.8,Europe and Central Asia
2015,Germany,DEU,17.6,29.780475,0.0416019315217215,0.0704237356796785,0.0030291834783595,0.0019477257628052,0.49519367547657,4.36666666666667,81686611.0,41911.0109851054,0.514426137125456,31.7,Europe and Central Asia
2016,Germany,DEU,17.0,29.818844,0.0411484585949807,0.0705091501856965,0.0033950646254353,0.0019304717296964,0.0914991922328878,3.90833333333333,82348669.0,42961.0356905775,0.491747008445174,31.4,Europe and Central Asia
2017,Germany,DEU,16.700001,29.889263,0.0409983458967134,0.0698457871400229,0.0034339904716446,0.0018480326377694,0.3163361138077956,3.56666666666667,82657002.0,45526.5999576533,1.50949485109628,31.3,Europe and Central Asia
2018,Germany,DEU,16.6,29.897059,0.0418194588954651,0.0703430065313746,0.003189911195437,0.0019512522113705,0.3963639818905164,3.20833333333333,82905782.0,48874.8595028454,1.73216879766942,31.9,Europe and Central Asia
2019,Germany,DEU,16.299999,29.937781,0.0429561965328376,0.0715676345448771,0.0029831281401348,0.001954804689268,-0.253634457795785,2.975,83092962.0,47623.8656074829,1.44565976888253,31.8,Europe and Central Asia
2000,Denmark,DNK,74.5,32.0,0.0629271948191799,0.0669305437912793,0.0065201254502604,0.0,5.64183333333333,4.325,5339616.0,30722.0251837567,2.90328203236453,23.8,Europe and Central Asia
2003,Denmark,DNK,72.400002,30.0,0.0655688522368738,0.0713418471130588,0.0067827472222465,0.0,4.30775,5.40833333333333,5390574.0,40519.0974905924,2.07507820646507,25.6,Europe and Central Asia
2004,Denmark,DNK,71.699997,30.0,0.0661369442532358,0.071920650979453,0.0067639053990897,2.066685944006701e-06,4.30458333333333,5.5,5404523.0,46625.050098011,1.15435693124932,24.9,Europe and Central Asia
2005,Denmark,DNK,71.5,28.0,0.0631931496391693,0.0741352825712572,0.006689941316437,0.0,3.40375,4.84166666666667,5419432.0,48925.8076698784,1.81781458291254,25.2,Europe and Central Asia
2006,Denmark,DNK,69.699997,28.0,0.06139140414389,0.0750635300573858,0.0065047025684698,4.747113474131763e-07,3.812,3.90833333333333,5437272.0,52119.1787984282,1.92422138464594,25.9,Europe and Central Asia
