,country,year,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
281,LVA,2002,2310173.0,4003.60935783538,1.93887573855896
282,LVA,2001,2337170.0,3504.61829462397,2.48704003555457
283,LVA,2000,2367550.0,3278.17896440803,2.65425477796048
284,LVA,1999,2390482.0,3063.89794599707,2.36481836111807
285,LVA,1998,2410019.0,2893.79998716563,4.64421422660787
286,LVA,1997,2432851.0,2609.89308697195,8.44738342092952
287,LVA,1996,2457222.0,2360.1714816213,17.6104698431032
288,LVA,1995,2485056.0,2256.77360387054,24.9759355316751
289,LVA,1994,2520742.0,,35.9247053929642
290,LVA,1993,2563290.0,,108.989540624323
291,LVA,1992,2614338.0,,951.696194870801
292,LVA,1991,2650581.0,,
293,LVA,1990,2663151.0,,
294,LVA,1989,2666955.0,,
295,LVA,1988,2653434.0,,
296,LVA,1987,2626583.0,,
297,LVA,1986,2599892.0,,
298,LVA,1985,2578873.0,,
299,LVA,1984,2562047.0,,
300,LVA,1983,2546011.0,,
301,LVA,1982,2531080.0,,
302,LVA,1981,2519421.0,,
303,LVA,1980,2511701.0,,
304,LVA,1979,2505953.0,,
305,LVA,1978,2497921.0,,
306,LVA,1977,2485073.0,,
307,LVA,1976,2470989.0,,
308,LVA,1975,2456130.0,,
309,LVA,1974,2437186.0,,
310,LVA,1973,2415819.0,,
311,LVA,1972,2395674.0,,
312,LVA,1971,2376389.0,,
313,LVA,1970,2359164.0,,
314,LVA,1969,2343173.0,,
315,LVA,1968,2323619.0,,
316,LVA,1967,2301220.0,,
317,LVA,1966,2283217.0,,
318,LVA,1965,2265919.0,,
319,LVA,1964,2240623.0,,
320,LVA,1963,2210919.0,,
321,LVA,1962,2181586.0,,
322,LVA,1961,2152681.0,,
323,LVA,1960,2120979.0,,
324,LVA,2024,,,1.26579885828729
325,DNK,2023,5946952.0,68453.8769281145,3.30517811237606
326,DNK,2022,5903037.0,68091.3191138669,7.6965669988926
327,DNK,2021,5856733.0,69727.9873677012,1.8530454398968
328,DNK,2020,5831404.0,60985.4885601514,0.420711974110115
329,DNK,2019,5814422.0,59404.2663247723,0.75813157251162
330,DNK,2018,5793636.0,61324.7665045565,0.813609467455631
331,DNK,2017,5764980.0,57521.5514992225,1.14713216957602
332,DNK,2016,5728010.0,54500.9260410217,0.250000000000031
333,DNK,2015,5683483.0,53094.0133607574,0.452034153691575
334,DNK,2014,5643475.0,62520.4509747011,0.56402054044954
335,DNK,2013,5614932.0,61377.5940590412,0.789071780078062
336,DNK,2012,5591572.0,58443.7747103968,2.3979148566464
337,DNK,2011,5570572.0,61809.737898222,2.7586822605125
338,DNK,2010,5547683.0,58104.5445594981,2.31092436974789
339,DNK,2009,5523095.0,58412.7472358513,1.30470991024337
340,DNK,2008,5493621.0,64616.6657583663,3.41626794258373
341,DNK,2007,5461438.0,58631.6566433635,1.69326586220315
342,DNK,2006,5437272.0,52119.1787984282,1.92422138464594
343,DNK,2005,5419432.0,48925.8076698784,1.81781458291254
344,DNK,2004,5404523.0,46625.050098011,1.15435693124932
345,DNK,2003,5390574.0,40519.0974905924,2.07507820646507
346,DNK,2002,5375931.0,33257.1622586509,2.42443661219697
347,DNK,2001,5358783.0,30768.4775471112,2.33787000255262
348,DNK,2000,5339616.0,30722.0251837567,2.90328203236453
349,DNK,1999,5321799.0,33426.2381077405,2.4977954440453
