Reference area,TIME_PERIOD,GINI,REF_AREA,Trade union density,Combined corporate income tax rate,Education spending,Health spending,IRLT,UNEMP,"Population, total",GDP per capita (current US$),"Inflation, consumer prices (annual %)"
United Kingdom,2017,0.326,GBR,23.299999,19.0,0.0503997156608149,0.0741270026445207,1.23580833333333,4.425,24592588.0,53901.7145392154,1.94864740944527
United Kingdom,2016,0.331,GBR,23.6,20.0,0.0508142766406664,0.075677643355116,1.30520833333333,4.9,24190907.0,49888.0410842736,1.27699094497324
United Kingdom,2015,0.3329999999999999,GBR,24.700001,20.0,0.0520049821258148,0.075413877004943,1.90103333333333,5.35,23815995.0,56739.0265346593,1.50836672165921
United Kingdom,2014,0.331,GBR,25.0,21.0,0.0531910095709347,0.0747027941803389,2.56908333333333,6.175,23475686.0,62544.0873773726,2.48792270531404
United Kingdom,2013,0.327,GBR,25.6,23.0,0.0530145209196788,0.0734399147618029,2.38978333333333,7.6,23128129.0,68190.7010035651,2.4498886414254
United Kingdom,2012,0.331,GBR,26.1,24.0,0.0557887396679143,0.0732910664842169,1.91804166666667,7.975,22733465.0,68072.8732340801,1.76278015613196
United Kingdom,2011,0.332,GBR,26.0,26.0,0.0581003133664945,0.0737301439320578,3.13599166666667,8.125,22340024.0,62605.600458306,3.3038501560874
United Kingdom,2010,0.337,GBR,26.6,28.0,0.0625164355790576,0.0758663220919671,3.624425,7.875,22031750.0,52144.6654705468,2.91834002677376
United Kingdom,2009,0.351,GBR,27.4,28.0,0.0621255088919594,0.0769875178626215,3.64751666666667,7.625,21691653.0,42816.5674002829,1.77111716621254
United Kingdom,2008,0.354,GBR,27.5,28.0,0.0577922400745447,0.0685747865385245,4.590725,5.7,21249199.0,49701.2817843335,4.35029854990048
United Kingdom,2007,0.344,GBR,28.0,30.0,0.0567317548946729,0.0652280837903396,5.011275,5.325,20827622.0,41051.6120652288,2.32761128891476
United Kingdom,2006,0.359,GBR,28.299999,30.0,0.0562838952222902,0.0648885037544028,4.501675,5.425,20450966.0,36595.7071548423,3.55528773727026
United Kingdom,2005,0.355,GBR,28.6,30.0,0.0551880529830019,0.0630708349633447,4.41389166666667,4.8,20176844.0,34479.7679298388,2.69183168316832
United Kingdom,2004,0.348,GBR,28.799999,30.0,0.0556635689267476,0.0617765810806834,4.88226666666667,4.75,19932722.0,30836.7306824685,2.34325522482583
United Kingdom,2003,0.349,GBR,29.299999,30.0,0.0562165339604895,0.0580968822887879,4.52659166666667,5.025,19720737.0,23718.1338501868,2.73259596616786
United Kingdom,2002,0.351,GBR,28.799999,30.0,0.0553395466871336,0.0555065657630669,4.89424166666667,5.175,19495210.0,20301.8431713256,2.98157453936348
United Kingdom,2001,0.371,GBR,29.299999,30.0,0.0492129231521636,0.0521630285257822,4.9295,5.075,19274701.0,19695.7297379144,4.40713536201469
United Kingdom,2000,0.3879999999999999,GBR,29.799999,30.0,0.0465932446644519,0.049401193957839,5.328975,5.45,19028802.0,21870.4159669594,4.45743514797224
United States,2020,0.397,USA,10.3,25.766571,0.0600700997302392,0.1058245712943717,0.894166666666666,8.09166666666667,25649248.0,51791.540179984,0.846905537459305
United States,2019,0.415,USA,9.8999996,25.886141,0.0585855561067785,0.0951302388274976,2.14416666666667,3.66666666666667,25334826.0,54972.7017885437,1.61076787290379
United States,2018,0.414,USA,10.1,25.83858,0.0590692263400081,0.0928095853143869,2.91,3.9,24963258.0,57196.4220783778,1.91140094445691
United States,2017,0.412,USA,10.3,38.906474,0.0599144701062639,0.0927091366850937,2.33,4.35,24592588.0,53901.7145392154,1.94864740944527
