,REF_AREA,TIME_PERIOD,Education spending,Health spending,Housing spending,Community development spending
69,BEL,2021,0.06213825769253267,0.08398330353232816,0.002487040119899641,0.0012616022348382442
70,BEL,2022,0.06170826888993157,0.07775724895110164,0.0018376572815306585,0.0012668052658214922
71,BEL,2023,0.06321515641083006,0.07894696242256269,0.0025149223421092634,0.0012558680682840748
72,BGR,2000,0.04219822449020224,0.03829705228964529,0.0018232966682880053,0.0001262227607726681
73,BGR,2001,0.03627202198933233,0.03981289680820288,0.00183336764910714,0.00011424258894277902
74,BGR,2002,0.037371239628900516,0.04846352864763417,0.0018157422564140354,0.0006296099482715981
75,BGR,2003,0.04153021422859524,0.054737301638348695,0.004706874067562173,0.0005581651184786687
76,BGR,2004,0.03962569640408563,0.0584787446733209,0.004107880607603371,0.0005473128963158406
77,BGR,2005,0.041417777556392664,0.04902498555628738,0.003173516106087426,0.0007082506958830593
78,BGR,2006,0.03610551917193973,0.03797220338918746,0.003084216733084232,0.0005443174323902134
79,BGR,2007,0.03591288450862298,0.04043563854777765,0.0026697446365258706,0.0006685385784599056
80,BGR,2008,0.03947381199825162,0.04415691295744326,0.003161007351232773,0.0007944043749330809
81,BGR,2009,0.0407025290602398,0.03956972829375882,0.0016851265442995604,0.004224977913006658
82,BGR,2010,0.03567136122533378,0.044020987695250105,0.001838019248148691,0.0036931065798553498
83,BGR,2011,0.03278109048335173,0.041281825560496456,0.0018255091523046983,0.0006835807679737843
84,BGR,2012,0.03309977765160568,0.04353591180186807,0.0018829892412873547,0.0006800254866504047
85,BGR,2013,0.0368279790041521,0.04513010321158032,0.002338222664906757,0.0007206401281210753
86,BGR,2014,0.040647012610810676,0.054442591791059404,0.00024495303311195823,0.0013452241425988595
87,BGR,2015,0.03909776926870787,0.05301045908177296,0.00034399415849702754,0.0014153508032324197
88,BGR,2016,0.033929823237917066,0.049490599774589306,0.0004932342835888082,0.0010706307281894765
89,BGR,2017,0.03520833769964389,0.048405513667624474,0.0005387177427704495,0.0011220290732652698
90,BGR,2018,0.03528538021614609,0.04960504179152173,0.0005761803647368441,0.0011599168947878228
91,BGR,2019,0.0382051296231344,0.0464148009742973,0.0006287609443335471,0.0011822940903133525
92,BGR,2020,0.038970406563947416,0.058010043567209964,0.0006820261936337082,0.0010574784000107085
93,BGR,2021,0.042966572288456184,0.05815556921991631,0.0007443683647411877,0.0011005076554930337
94,BGR,2022,0.03883978704131047,0.05551996177327677,0.0007887500578164712,0.0010693408182894182
95,BGR,2023,0.0407044930652309,0.05499874932587548,0.0008721091983012873,0.0009977758369275188
96,CHE,2000,0.05012165101096719,0.014524297181297276,0.0007994666043278483,0.0010537546239701525
97,CHE,2001,0.051543787289322227,0.016314635161131016,0.0007739621584013244,0.0010831583038579768
98,CHE,2002,0.0541465237423871,0.017687227321531527,0.0007416618785267817,0.0011409943398882818
99,CHE,2003,0.05514910223278105,0.01841517181879742,0.0006975961259117915,0.0010115902661984243
100,CHE,2004,0.05351599987051204,0.017891208713233856,0.0006408382880388269,0.0010170746918375562
101,CHE,2005,0.05260273022406843,0.01784159392663777,0.0006046595379023537,0.0007740978391752802
