Entity,Code,Year,World regions according to WB
Malta,MLT,2023,Middle East and North Africa (WB)
Marshall Islands,MHL,2023,East Asia and Pacific (WB)
Martinique,MTQ,2023,Europe and Central Asia (WB)
Mauritania,MRT,2023,Sub-Saharan Africa (WB)
Mauritius,MUS,2023,Sub-Saharan Africa (WB)
Mayotte,MYT,2023,Europe and Central Asia (WB)
Mexico,MEX,2023,Latin America and Caribbean (WB)
Micronesia (country),FSM,2023,East Asia and Pacific (WB)
Moldova,MDA,2023,Europe and Central Asia (WB)
Monaco,MCO,2023,Europe and Central Asia (WB)
Mongolia,MNG,2023,East Asia and Pacific (WB)
Montenegro,MNE,2023,Europe and Central Asia (WB)
Montserrat,MSR,2023,Europe and Central Asia (WB)
Morocco,MAR,2023,Middle East and North Africa (WB)
Mozambique,MOZ,2023,Sub-Saharan Africa (WB)
Myanmar,MMR,2023,East Asia and Pacific (WB)
Namibia,NAM,2023,Sub-Saharan Africa (WB)
Nauru,NRU,2023,East Asia and Pacific (WB)
Nepal,NPL,2023,South Asia (WB)
Netherlands,NLD,2023,Europe and Central Asia (WB)
Netherlands Antilles,ANT,2023,Europe and Central Asia (WB)
New Caledonia,NCL,2023,East Asia and Pacific (WB)
New Zealand,NZL,2023,East Asia and Pacific (WB)
Nicaragua,NIC,2023,Latin America and Caribbean (WB)
Niger,NER,2023,Sub-Saharan Africa (WB)
Nigeria,NGA,2023,Sub-Saharan Africa (WB)
Niue,NIU,2023,East Asia and Pacific (WB)
Norfolk Island,NFK,2023,East Asia and Pacific (WB)
North Korea,PRK,2023,East Asia and Pacific (WB)
North Macedonia,MKD,2023,Europe and Central Asia (WB)
Northern Mariana Islands,MNP,2023,East Asia and Pacific (WB)
Norway,NOR,2023,Europe and Central Asia (WB)
Oman,OMN,2023,Middle East and North Africa (WB)
Orange Free State,,2023,Sub-Saharan Africa (WB)
Pakistan,PAK,2023,South Asia (WB)
Pakistan (former),,2023,South Asia (WB)
Palau,PLW,2023,East Asia and Pacific (WB)
Palestine,PSE,2023,Middle East and North Africa (WB)
Panama,PAN,2023,Latin America and Caribbean (WB)
Papua New Guinea,PNG,2023,East Asia and Pacific (WB)
Paraguay,PRY,2023,Latin America and Caribbean (WB)
Peru,PER,2023,Latin America and Caribbean (WB)
Philippines,PHL,2023,East Asia and Pacific (WB)
Pitcairn,PCN,2023,East Asia and Pacific (WB)
Poland,POL,2023,Europe and Central Asia (WB)
Portugal,PRT,2023,Europe and Central Asia (WB)
Puerto Rico,PRI,2023,Latin America and Caribbean (WB)
Qatar,QAT,2023,Middle East and North Africa (WB)
Republic of Vietnam,OWID_RVN,2023,East Asia and Pacific (WB)
Reunion,REU,2023,Europe and Central Asia (WB)
Romania,ROU,2023,Europe and Central Asia (WB)
Russia,RUS,2023,Europe and Central Asia (WB)
Rwanda,RWA,2023,Sub-Saharan Africa (WB)
Saint Barthelemy,BLM,2023,Europe and Central Asia (WB)
Saint Helena,SHN,2023,Europe and Central Asia (WB)
Saint Kitts and Nevis,KNA,2023,Latin America and Caribbean (WB)
Saint Lucia,LCA,2023,Latin America and Caribbean (WB)
Saint Martin (French part),MAF,2023,Latin America and Caribbean (WB)
Saint Pierre and Miquelon,SPM,2023,North America (WB)
Saint Vincent and the Grenadines,VCT,2023,Latin America and Caribbean (WB)
Samoa,WSM,2023,East Asia and Pacific (WB)
San Marino,SMR,2023,Europe and Central Asia (WB)
Sao Tome and Principe,STP,2023,Sub-Saharan Africa (WB)
Saudi Arabia,SAU,2023,Middle East and North Africa (WB)
Senegal,SEN,2023,Sub-Saharan Africa (WB)
Serbia,SRB,2023,Europe and Central Asia (WB)
Serbia and Montenegro,OWID_SRM,2023,Europe and Central Asia (WB)
Seychelles,SYC,2023,Sub-Saharan Africa (WB)
Sierra Leone,SLE,2023,Sub-Saharan Africa (WB)
Singapore,SGP,2023,East Asia and Pacific (WB)
Sint Maarten (Dutch part),SXM,2023,Latin America and Caribbean (WB)
Slovakia,SVK,2023,Europe and Central Asia (WB)
Slovenia,SVN,2023,Europe and Central Asia (WB)
Solomon Islands,SLB,2023,East Asia and Pacific (WB)
